name,check_in,check_out,adults,rooms,address,provider,reviews,rating,price,range
Da Vinci Hotel,12/9/2017,12/10/2017,2,1,"244 W 56th St, New York City, NY 10019-4306",,573,3.5,300,103-311
The Blakely New York,12/9/2017,12/10/2017,2,1,"136 W 55th St, Bet. 6th & 7th Avenue, New York City, NY 10019-5305",Orbitz.com,"1,449",4.5,440,218-506
Hotel Deauville,12/9/2017,12/10/2017,2,1,"103 East 29th Street, New York City, NY 10016",Hotwire.com,,4,145,135-175
"Marriott Vacation Club Pulse, New York City",12/9/2017,12/10/2017,2,1,"33 West 37th Street, New York City, NY 10018-6201",Hotels.com,"2,339",4.5,456,167-553
36 Hudson Hotel,12/9/2017,12/10/2017,2,1,"449 W 36th St, 36th Street between 9th & 10th Avenues, New York City, NY 10018-6303",Hotels.com,,4,321,128-349
Chelsea Inn - 11th Avenue,12/9/2017,12/10/2017,2,1,"184 11th Avenue, at 23rd Street, New York City, NY 10011",,18,2,423,400-543
Mayfair Hotel,12/9/2017,12/10/2017,2,1,"242 W 49th St, New York City, NY 10019-7405",Hotels.com,,3.5,175,112-286
Hampton Inn Manhattan-Chelsea,12/9/2017,12/10/2017,2,1,"108 West 24th Street, New York City, NY 10011-1902",Hampton.com,"1,920",4.5,446,169-485
Bristol Plaza,12/9/2017,12/10/2017,2,1,"210 E 65th St, New York City, NY 10065-6697",,9,5,260,255-379
Lotte New York Palace,12/9/2017,12/10/2017,2,1,"455 Madison Avenue, New York City, NY 10022-6845",,"3,516",4.5,878,277-1089
Hotel Cliff,12/9/2017,12/10/2017,2,1,"505 W 181st St, New York City, NY 10033-5102",,9,2.5,324,166-412
Gansevoort Park Avenue NYC,12/9/2017,12/10/2017,2,1,"420 Park Avenue South, New York City, NY 10016-8403",Priceline,"2,347",4.5,488,306-693
Sago Hotel,12/9/2017,12/10/2017,2,1,"120 Allen St, New York City, NY 10002-3004",Expedia.com,84,4.5,360,333-516
Fairfield Inn & Suites New York Manhattan/Chelsea,12/9/2017,12/10/2017,2,1,"116 West 28th Street, New York City, NY 10001",Fairfield Inn,837,4.5,360,171-519
Oxbridge Midtown East Apartments,12/9/2017,12/10/2017,2,1,"210 E 47th St, New York City, NY 10017-2108",,,3.5,178,160-243
New York Marriott East Side,12/9/2017,12/10/2017,2,1,"525 Lexington Avenue at 49th Street, New York City, NY 10017",Booking.com,"2,223",4,413,197-635
The Westin New York Grand Central,12/9/2017,12/10/2017,2,1,"212 East 42nd Street, Between 2nd Ave and 3rd Ave, New York City, NY 10017-5803",AMOMA,"3,487",4,369,201-618
"The Lexington New York City, Autograph Collection",12/9/2017,12/10/2017,2,1,"511 Lexington Avenue, at 48th Street, New York City, NY 10017",Expedia.com,"3,421",4,429,180-532
Seafarers & International House,12/9/2017,12/10/2017,2,1,"123 E 15th St, New York City, NY 10003-3594",,,4,143,93-169
Hotel Shocard at Times Square,12/9/2017,12/10/2017,2,1,"206 West 41th Street, New York City, NY 10036-7203",Expedia.com,235,4,424,156-459
The MAve Hotel,12/9/2017,12/10/2017,2,1,"62 Madison Ave, At 27th Street, New York City, NY 10016-8704",Cancelon,956,4,548,379-702
Park Lane Hotel,12/9/2017,12/10/2017,2,1,"36 Central Park South, 59th Street Between 5th Ave & 6th Ave, New York City, NY 10019-1600",Expedia.com,"6,538",4,599,191-598
Inter-Continental Central Park South New York,12/9/2017,12/10/2017,2,1,"112 Central Park S, New York City, NY 10019-1503",,,5,178,170-800
Candlewood Suites New York City Times Square,12/9/2017,12/10/2017,2,1,"339 W. 39th Street, New York City, NY 10018-1401",AMOMA,"1,879",4,374,145-438
InterContinental New York Times Square,12/9/2017,12/10/2017,2,1,"300 W 44th Street, New York City, NY 10036-5419",AMOMA,"5,389",4.5,709,232-706
Renaissance New York Times Square Hotel,12/9/2017,12/10/2017,2,1,"Two Times Square, 714 Seventh Avenue at W. 48th Street, New York City, NY 10036-7301",Hotwire.com,"2,417",4.5,613,259-745
Downtown Athletic Center,12/9/2017,12/10/2017,2,1,"19 West Street, New York City, NY 10001",,3,4.5,223,280-400
Hotel Olcott,12/9/2017,12/10/2017,2,1,"27 W 72nd St, New York City, NY 10023-3498",,3,4,328,250-600
The Helmsley Windsor,12/9/2017,12/10/2017,2,1,"100 West 58th Street, New York City, NY 10019",,16,4.5,145,110-190
Phillips Club,12/9/2017,12/10/2017,2,1,"155 W 66th St, New York City, NY 10023-6501",,91,4.5,445,420-525
Hilton New York Fashion District,12/9/2017,12/10/2017,2,1,"152 West 26th Street, New York City, NY 10001-6975",Hilton.com,"3,475",4,379,169-501
The Mansfield,12/9/2017,12/10/2017,2,1,"12 W 44th St, Off of Fifth Avenue, New York City, NY 10036-6604",Expedia.com,"1,847",3.5,373,140-431
Residence Inn New York Manhattan/Central Park,12/9/2017,12/10/2017,2,1,"1717 Broadway, New York City, NY 10019",Orbitz.com,"1,290",4.5,557,216-626
