Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,41.8,33.8,34.9,21.3,38.8,46.0,47.1,42.7,49.4,58.6,63.0,59.4,60.3,66.2,65.7,68.1,85.4,87.9,91.7,115.2,148.6,149.2,157.4,235.6,249.1,266.1,249.8,262.5,252.7
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.3,280.1,219.9,203.4,151.0,82.0,96.5,120.1,119.1,104.0,106.2,179.7,0,0,0,475.4,632.7,600.0,0,0
Morocco,38.2,40.4,42.9,45.2,47.5,47.6,51.0,52.9,52.5,50.2,51.1,42.2,29.7,50.3,49.9,61.0,64.4,66.8,69.6,77.7,93.9,96.3,98.4,102.8,103.2,121.5,119.4,95.1,95.5
Tunisia,29.6,29.1,30.1,30.9,33.7,31.4,33.2,37.6,42.9,38.2,38.5,37.2,34.3,34.3,35.0,41.0,44.4,46.4,48.8,47.6,55.6,53.7,53.7,66.5,62.6,69.0,81.6,87.0,85.8
Angola,139.3,180.1,157.4,89.9,67.0,144.9,0.0,17.9,11.9,33.1,12.0,73.0,38.8,26.0,27.2,40.1,47.3,76.2,106.3,105.9,159.4,161.4,165.0,165.9,182.7,259.8,282.4,144.2,109.3
Benin,7.9,5.9,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.1,1.8,3.5,4.5,5.3,5.5,5.5,0,7.2,0.0,0.0,0.0,7.8,8.3,8.8,8.4,8.8
Botswana,72.1,76.7,113.2,121.3,121.9,123.8,110.7,105.2,87.2,97.5,107.9,99.3,106.4,119.3,125.1,166.3,171.1,152.3,144.0,158.7,168.9,164.5,170.3,173.9,153.3,140.8,156.0,169.6,223.1
Burkina Faso,6.8,7.8,9.6,7.7,7.6,6.3,3.1,3.7,3.6,3.6,3.6,3.7,3.2,3.1,3.5,4.0,5.0,5.5,5.3,7.6,8.0,8.4,7.9,8.6,8.9,9.7,10.1,8.2,8.0
Burundi,6.5,6.9,7.1,7.4,6.6,6.0,6.8,6.7,8.0,9.6,9.0,7.6,6.3,7.7,6.3,5.9,5.9,6.2,5.4,5.4,5.0,0.0,0.0,0.0,5.8,5.8,5.7,5.9,5.8
Cameroon,13.6,12.5,15.0,14.3,14.4,12.8,7.0,8.2,8.2,8.1,9.1,9.3,7.7,7.6,8.7,10.9,12.5,12.3,13.8,15.6,17.7,17.1,17.2,16.5,16.4,17.7,17.6,15.2,16.2
